,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1521,"Rp 7,5 Miliar",Cicilan: 27 Jutaan per bulan,Rumah Gudang Murah Lokasi Bagus Batununggal Bandung,"Batununggal, Bandung",7,4,7,LT : 1054 m²,LB : 700 m²
1522,"Rp 3,35 Miliar",Cicilan: 12 Jutaan per bulan,Rumah 2 Lantai Terawat Siap Huni Batununggal Indah,"Batununggal, Bandung",4,3,2,LT : 200 m²,LB : 208 m²
1523,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,"Rumah 2 Lantai Bagus di Batununggal Indah, Bandung","Batununggal, Bandung",4,3,2,LT : 180 m²,LB : 300 m²
1524,"Rp 2,37 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Siap Huni Lokasi Bagus Parakan Batununggal Bandung,No Data,4,3,3,LT : 268 m²,LB : 254 m²
1525,"Rp 2,7 Miliar",Cicilan: 10 Jutaan per bulan, Rumah Luas Murah Siap Huni Area Strategis Buah Batu,"Buah Batu, Bandung",8,6,1,LT : 563 m²,LB : 400 m²
1526,"Rp 8,5 Miliar",Cicilan: 31 Jutaan per bulan,Jual Rumah Setraduta Minimalis Dan Lux ,"Setra Duta, Bandung",4,4,2,LT : 375 m²,LB : 460 m²
1527,Rp 11 Miliar,Cicilan: 40 Jutaan per bulan,Rumah Karanglayung Parkir Luas Ukuran Pas,"Sukajadi, Bandung",4,3,5,LT : 435 m²,LB : 250 m²
1528,Rp 12 Miliar,Cicilan: 44 Jutaan per bulan,Jual Rumah Mekar Wangi Harga Nego Bonus Bangunan,"Mekar Wangi, Bandung",7,4,4,LT : 701 m²,LB : 1100 m²
1529,"Rp 13,7 Miliar",Cicilan: 50 Jutaan per bulan,Dijual Rumah Sayap Pasirkaliki Dr Rum Bandung,"Pasir Kaliki, Bandung",3,2,2,LT : 458 m²,LB : 300 m²
1530,Rp 16 Miliar,Cicilan: 59 Jutaan per bulan,Rumah Jalan Pudak Bandung Ngantong,"Sumurbandung, Bandung",5,4,2,LT : 638 m²,LB : 587 m²
1531,"Rp 16,5 Miliar",Cicilan: 61 Jutaan per bulan,Rumah Setraria Bandung Nego Serius,"Setra Sari, Bandung",5,5,2,LT : 800 m²,LB : 527 m²
1532,Rp 18 Miliar,Cicilan: 66 Jutaan per bulan,Dijual Rumah Setiabudi 1 Arah Dekat Rumah Mode,"Sukajadi, Bandung",5,3,0,LT : 620 m²,LB : 400 m²
1533,"Rp 4,7 Miliar",Cicilan: 17 Jutaan per bulan,Rumah Cantik Fully Furnished di Wangsakerta Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",4,3,1,LT : 220 m²,LB : 280 m²
1534,"Rp 6,9 Miliar",Cicilan: 25 Jutaan per bulan,Rumah Luxury Murah Elite di SInggasana Pradana Bandung,"Singgasana, Bandung",4,4,3,LT : 286 m²,LB : 525 m²
1535,"Rp 5,35 Miliar",Cicilan: 19 Jutaan per bulan,"Rumah villa sangat exotis view alam di kawasan Lembang, Bandung","Lembang, Bandung",2,3,10,LT : 1500 m²,LB : 300 m²
1536,Rp 546 Juta,Cicilan: 2 Jutaan per bulan,Rumah di Padasuka Jatihandap Cicaheum Cikadut Cimenyan Arcamanik Antapani,"Padasuka, Bandung",2,1,1,LT : 90 m²,LB : 36 m²
1537,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,RUMAH SIAP HUNI 3 LANTAI DI SARIWANGI CIHANJUANG DKT PEMKOT CIMAHI PASTEUR,"Cihanjuang, Bandung",4,4,1,LT : 75 m²,LB : 130 m²
1538,Rp 10 Miliar,Cicilan: 37 Jutaan per bulan,Rumah Besar Mewah Siap Huni di Taman Sakura Bandung,"Soekarno Hatta, Bandung",5,5,4,LT : 600 m²,LB : 500 m²
1539,Rp 485 Juta,Cicilan: 1 Jutaan per bulan,Rumah di CIHANJUANG CIMAHI DKT PEMKOT CIMAHI SARIWANGI PASTEUR SHM Baru Strategis Adem Sejuk Nyaman,"Cihanjuang, Bandung",2,1,1,LT : 50 m²,LB : 36 m²
